dt,AverageTemperature,AverageTemperatureUncertainty,Country
1754-01-01,-3.912,2.7510000000000003,Iceland
1754-02-01,-5.829,3.513,Iceland
1754-03-01,-3.614,3.503,Iceland
1754-04-01,2.191,5.343999999999999,Iceland
1754-05-01,4.276,3.112,Iceland
1754-06-01,7.692,2.553,Iceland
1754-07-01,8.486999999999998,3.115,Iceland
1754-08-01,7.451,4.259,Iceland
1754-09-01,4.058,3.2510000000000003,Iceland
1754-10-01,1.896,2.672,Iceland
1754-11-01,-1.395,2.755,Iceland
1754-12-01,-2.6060000000000003,2.9160000000000004,Iceland
1755-01-01,-4.699999999999998,4.379,Iceland
1755-02-01,-5.420999999999999,3.551,Iceland
1755-03-01,-3.747,3.785,Iceland
1755-04-01,0.493,3.994,Iceland
1755-05-01,4.118,2.857,Iceland
1755-06-01,8.648,3.281,Iceland
1755-07-01,9.23,2.71,Iceland
1755-08-01,6.977,3.112,Iceland
1755-09-01,4.3450000000000015,2.465,Iceland
1755-10-01,0.7120000000000002,5.18,Iceland
1755-11-01,-1.892,5.695,Iceland
1755-12-01,-4.336,5.599,Iceland
1756-01-01,-1.916,4.533,Iceland
1756-02-01,0.0219999999999998,3.484,Iceland
1756-03-01,-2.516,5.12,Iceland
1756-04-01,0.5290000000000001,3.022,Iceland
1756-05-01,4.463,4.433,Iceland
1756-06-01,8.038,3.156,Iceland
1756-07-01,8.85,2.758,Iceland
1756-08-01,6.97,6.6770000000000005,Iceland
1756-09-01,5.312,3.335,Iceland
1756-10-01,0.0230000000000001,3.455,Iceland
1756-11-01,-3.684,4.081,Iceland
1756-12-01,-5.231,2.942,Iceland
1757-01-01,-5.984,3.21,Iceland
1757-02-01,-2.196,3.756,Iceland
1757-03-01,-2.6860000000000004,3.366,Iceland
1757-04-01,-0.0279999999999999,4.811,Iceland
1757-05-01,4.133,3.392,Iceland
1757-06-01,9.847,3.62,Iceland
1757-07-01,11.889,5.015,Iceland
1757-08-01,8.889,4.053999999999999,Iceland
1757-09-01,6.824000000000002,5.829,Iceland
1757-10-01,-1.269,7.827000000000001,Iceland
1757-11-01,-2.74,4.41,Iceland
1757-12-01,-5.393000000000002,7.005,Iceland
1758-01-01,-6.884,2.643,Iceland
1758-02-01,-4.586,3.151,Iceland
1758-03-01,-3.353,3.77,Iceland
1758-04-01,-1.649,5.678999999999999,Iceland
1758-05-01,2.4850000000000003,4.714,Iceland
1758-06-01,6.777,4.141,Iceland
1758-07-01,8.300999999999998,6.165,Iceland
1758-08-01,6.296,5.145,Iceland
1758-09-01,2.9410000000000003,3.254,Iceland
1758-10-01,-2.835,8.043,Iceland
1758-11-01,-1.484,6.907,Iceland
1758-12-01,-4.2010000000000005,4.519,Iceland
1759-01-01,-0.948,5.049,Iceland
1759-02-01,-1.188,5.8260000000000005,Iceland
1759-03-01,-2.323,3.2460000000000004,Iceland
1759-04-01,-1.952,4.6560000000000015,Iceland
1759-05-01,2.122,3.363,Iceland
1759-06-01,7.2730000000000015,4.595,Iceland
1759-07-01,7.658999999999999,3.863,Iceland
1759-08-01,8.682,5.3870000000000005,Iceland
1759-09-01,5.0520000000000005,4.845,Iceland
1759-10-01,0.5650000000000002,4.123,Iceland
1759-11-01,-3.224,4.934,Iceland
1759-12-01,-7.435,7.587999999999999,Iceland
1760-01-01,-7.465,4.103,Iceland
1760-02-01,-3.509,3.364,Iceland
1760-03-01,-4.811,6.69,Iceland
1760-04-01,-1.341,5.395,Iceland
1760-05-01,2.361,3.912,Iceland
1760-06-01,5.658,3.031,Iceland
1760-07-01,7.469999999999999,4.023,Iceland
1760-08-01,7.827000000000001,6.072,Iceland
1760-09-01,5.002000000000002,4.698,Iceland
1760-10-01,-0.8069999999999997,4.099,Iceland
1760-11-01,-2.6210000000000004,3.307,Iceland
1760-12-01,-4.641,2.947,Iceland
1761-01-01,-4.364,5.852,Iceland
1761-02-01,-2.857,3.458,Iceland
1761-03-01,-0.8430000000000002,2.421,Iceland
1761-04-01,-1.131,3.786,Iceland
1761-05-01,4.634,4.32,Iceland
1761-06-01,9.781,3.023,Iceland
1761-07-01,11.887,4.744,Iceland
1761-08-01,8.51,3.059,Iceland
1761-09-01,5.227,3.389,Iceland
1761-10-01,-0.4530000000000001,4.493,Iceland
1761-11-01,-2.3520000000000003,2.768,Iceland
1761-12-01,-6.704,3.069,Iceland
1762-01-01,-0.3079999999999998,2.995,Iceland
1762-02-01,-2.537,6.335,Iceland
1762-03-01,-4.024,4.351,Iceland
1762-04-01,0.467,3.702,Iceland
1762-05-01,2.2830000000000004,5.438,Iceland
1762-06-01,6.847,5.442,Iceland
1762-07-01,8.386000000000001,3.148,Iceland
1762-08-01,6.564,2.99,Iceland
1762-09-01,3.8930000000000007,6.894,Iceland
1762-10-01,-2.367,3.991,Iceland
1762-11-01,-1.827,2.768,Iceland
1762-12-01,-2.84,5.115,Iceland
1763-01-01,-4.051,4.285,Iceland
1763-02-01,-4.712,4.335,Iceland
1763-03-01,-4.77,5.865,Iceland
1763-04-01,-1.741,2.591,Iceland
1763-05-01,1.928,3.2060000000000004,Iceland
1763-06-01,6.468,5.099,Iceland
1763-07-01,10.153,2.695,Iceland
1763-08-01,7.245,3.228,Iceland
1763-09-01,4.6960000000000015,3.156,Iceland
1763-10-01,-0.7669999999999997,5.272,Iceland
1763-11-01,-2.052,3.706,Iceland
1763-12-01,-3.915,2.702,Iceland
1764-01-01,-4.136,4.253,Iceland
1764-02-01,-1.669,3.698,Iceland
1764-03-01,-2.135,3.683,Iceland
1764-04-01,-1.182,4.13,Iceland
1764-05-01,2.394,6.197,Iceland
1764-06-01,4.819000000000001,3.372,Iceland
1764-07-01,7.725999999999999,4.7010000000000005,Iceland
1764-08-01,6.916,2.482,Iceland
1764-09-01,3.754,4.589,Iceland
1764-10-01,1.787,2.951,Iceland
1764-11-01,-1.966,2.922,Iceland
1764-12-01,-2.5980000000000003,3.662,Iceland
1765-01-01,-3.352,8.377,Iceland
1765-02-01,-4.672,4.047,Iceland
1765-03-01,-1.969,3.045,Iceland
1765-04-01,-0.0939999999999999,2.474,Iceland
1765-05-01,2.995,2.654,Iceland
1765-06-01,4.046,3.074,Iceland
1765-07-01,7.681999999999999,3.801,Iceland
1765-08-01,6.534,3.039,Iceland
1765-09-01,4.018000000000002,2.476,Iceland
1765-10-01,0.0190000000000001,2.153,Iceland
1765-11-01,-2.0340000000000003,3.675,Iceland
1765-12-01,-3.444,2.584,Iceland
1766-01-01,-4.387,5.715,Iceland
1766-02-01,-2.658,3.516,Iceland
1766-03-01,-2.6670000000000003,3.117,Iceland
1766-04-01,0.235,3.444,Iceland
1766-05-01,1.746,3.625,Iceland
1766-06-01,7.544,6.19,Iceland
1766-07-01,9.453,3.87,Iceland
1766-08-01,8.224,3.346,Iceland
1766-09-01,4.832000000000002,3.726,Iceland
1766-10-01,0.696,2.599,Iceland
1766-11-01,0.4669999999999999,4.377,Iceland
1766-12-01,-3.3080000000000003,3.568,Iceland
1767-01-01,-6.090999999999998,5.526,Iceland
1767-02-01,-3.004,6.238,Iceland
1767-03-01,-2.194,6.75,Iceland
1767-04-01,-1.499,5.023,Iceland
1767-05-01,2.294,2.843,Iceland
1767-06-01,6.524,3.622,Iceland
1767-07-01,7.425999999999998,3.725,Iceland
1767-08-01,8.993,2.633,Iceland
1767-09-01,5.312,3.946,Iceland
1767-10-01,0.7050000000000001,3.097,Iceland
1767-11-01,0.0619999999999998,6.901,Iceland
1767-12-01,-3.515,4.978,Iceland
1768-01-01,-6.01,9.357,Iceland
1768-02-01,-5.073,7.666,Iceland
1768-03-01,-4.5440000000000005,5.471,Iceland
1768-04-01,-1.892,3.913,Iceland
1768-05-01,2.873,3.3080000000000003,Iceland
1768-06-01,6.510000000000002,4.168,Iceland
1768-07-01,8.597999999999999,4.268,Iceland
1768-08-01,7.532999999999999,2.401,Iceland
1768-09-01,4.004,4.28,Iceland
1768-10-01,-0.647,4.25,Iceland
1768-11-01,-2.875,4.6930000000000005,Iceland
1768-12-01,-2.872,5.987,Iceland
1769-01-01,-3.939,5.542999999999998,Iceland
1769-02-01,-4.856999999999998,3.202,Iceland
1769-03-01,-2.859,4.606,Iceland
1769-04-01,0.457,4.992,Iceland
1769-05-01,4.625,7.11,Iceland
1769-06-01,7.977,4.373,Iceland
1769-07-01,9.36,4.4,Iceland
1769-08-01,7.852,4.7360000000000015,Iceland
1769-09-01,4.963,2.309,Iceland
1769-10-01,-1.1769999999999998,3.039,Iceland
1769-11-01,-3.731,2.307,Iceland
1769-12-01,-4.801,3.999,Iceland
1770-01-01,-3.35,6.192,Iceland
1770-02-01,-1.863,3.738,Iceland
1770-03-01,-7.459,4.1960000000000015,Iceland
1770-04-01,-0.542,9.328,Iceland
1770-05-01,3.007,2.547,Iceland
1770-06-01,6.381,3.929,Iceland
1770-07-01,8.068,6.454,Iceland
1770-08-01,7.0520000000000005,4.052,Iceland
1770-09-01,5.141,3.377,Iceland
1770-10-01,0.3280000000000001,4.691,Iceland
1770-11-01,-3.1580000000000004,5.766,Iceland
1770-12-01,-3.957,8.863999999999997,Iceland
1771-01-01,-2.9879999999999995,6.435,Iceland
1771-02-01,-5.1610000000000005,4.347,Iceland
1771-03-01,-4.811999999999999,6.449,Iceland
1771-04-01,-2.724,5.722,Iceland
1771-05-01,2.7670000000000003,9.151,Iceland
1771-06-01,8.195,3.09,Iceland
1771-07-01,8.018999999999998,2.497,Iceland
1771-08-01,8.172,3.102,Iceland
1771-09-01,4.49,2.6210000000000004,Iceland
1771-10-01,1.372,2.417,Iceland
1771-11-01,-1.192,4.023,Iceland
1771-12-01,-1.9,3.988,Iceland
1772-01-01,-5.053,7.181,Iceland
1772-02-01,-6.808,8.192,Iceland
1772-03-01,-5.2650000000000015,3.804,Iceland
1772-04-01,-0.53,4.08,Iceland
1772-05-01,1.991,2.454,Iceland
1772-06-01,6.3,4.494,Iceland
1772-07-01,8.815,3.334,Iceland
1772-08-01,8.132,4.203,Iceland
1772-09-01,3.5930000000000004,3.474,Iceland
1772-10-01,1.94,2.946,Iceland
1772-11-01,0.1319999999999999,5.033,Iceland
1772-12-01,-0.887,3.632,Iceland
1773-01-01,-4.869,2.97,Iceland
1773-02-01,-4.513,3.23,Iceland
1773-03-01,-2.383,2.707,Iceland
1773-04-01,0.687,3.49,Iceland
1773-05-01,3.827,3.688,Iceland
1773-06-01,6.207000000000002,2.583,Iceland
1773-07-01,8.516,2.9360000000000004,Iceland
1773-08-01,8.338000000000001,2.515,Iceland
1773-09-01,5.066000000000002,2.768,Iceland
1773-10-01,1.1790000000000005,2.6,Iceland
1773-11-01,-3.1340000000000003,5.603,Iceland
1773-12-01,-2.502,4.762,Iceland
1774-01-01,-7.382999999999999,6.466,Iceland
1774-02-01,-2.9410000000000003,6.146,Iceland
1774-03-01,-3.261,2.736,Iceland
1774-04-01,0.546,4.496,Iceland
1774-05-01,6.441000000000002,3.108,Iceland
1774-06-01,7.75,6.189,Iceland
1774-07-01,9.8,5.8,Iceland
1774-08-01,7.949,3.302,Iceland
1774-09-01,4.431,3.412,Iceland
1774-10-01,1.3010000000000002,4.017,Iceland
1774-11-01,-4.135,6.535,Iceland
1774-12-01,-4.9910000000000005,4.397,Iceland
1775-01-01,-2.242,4.417,Iceland
1775-02-01,-1.3130000000000002,4.169,Iceland
1775-03-01,-1.321,2.6060000000000003,Iceland
1775-04-01,-0.001,2.445,Iceland
1775-05-01,4.212,3.422,Iceland
1775-06-01,6.129,4.539,Iceland
1775-07-01,9.241,2.405,Iceland
1775-08-01,8.41,2.437,Iceland
1775-09-01,4.708,3.2710000000000004,Iceland
1775-10-01,1.592,2.883,Iceland
1775-11-01,-0.883,4.881,Iceland
1775-12-01,-3.742,2.418,Iceland
1776-01-01,-7.183999999999998,5.488,Iceland
1776-02-01,-3.0860000000000003,4.041,Iceland
1776-03-01,-3.1260000000000003,3.2,Iceland
1776-04-01,-0.595,2.257,Iceland
1776-05-01,2.434,3.966,Iceland
1776-06-01,7.234,3.233,Iceland
1776-07-01,8.751999999999999,3.076,Iceland
1776-08-01,8.354,4.146,Iceland
1776-09-01,3.833,3.002,Iceland
1776-10-01,0.679,3.116,Iceland
1776-11-01,-1.7,5.255,Iceland
1776-12-01,-2.253,3.28,Iceland
1777-01-01,-1.6719999999999997,4.687,Iceland
1777-02-01,-3.214,4.546,Iceland
1777-03-01,-3.2230000000000003,2.654,Iceland
1777-04-01,-2.239,2.491,Iceland
1777-05-01,3.51,3.349,Iceland
1777-06-01,5.546,3.138,Iceland
1777-07-01,7.151999999999999,2.562,Iceland
1777-08-01,7.404,2.567,Iceland
1777-09-01,4.939,4.229,Iceland
1777-10-01,-0.1799999999999999,4.407,Iceland
1777-11-01,-1.653,2.605,Iceland
1777-12-01,-2.9490000000000003,2.536,Iceland
1778-01-01,-3.285,2.958,Iceland
1778-02-01,-1.4719999999999998,4.121,Iceland
1778-03-01,-3.725,3.591,Iceland
1778-04-01,0.609,2.63,Iceland
1778-05-01,3.669,2.992,Iceland
1778-06-01,6.46,4.975,Iceland
1778-07-01,9.428,2.438,Iceland
1778-08-01,7.218999999999999,3.4410000000000003,Iceland
1778-09-01,5.256,2.495,Iceland
1778-10-01,-1.1489999999999998,5.428,Iceland
1778-11-01,-3.127,3.851,Iceland
1778-12-01,-3.04,3.389,Iceland
1779-01-01,-3.868,3.2110000000000003,Iceland
1779-02-01,-0.3109999999999999,6.479,Iceland
1779-03-01,-0.3819999999999999,3.792,Iceland
1779-04-01,0.7659999999999999,3.37,Iceland
1779-05-01,4.814,2.724,Iceland
1779-06-01,6.6190000000000015,3.568,Iceland
1779-07-01,9.313,2.764,Iceland
1779-08-01,9.204,3.751,Iceland
1779-09-01,5.646000000000001,2.628,Iceland
1779-10-01,1.46,3.543,Iceland
1779-11-01,-2.007,2.971,Iceland
1779-12-01,-5.394,7.545,Iceland
1780-01-01,-4.995,3.1460000000000004,Iceland
1780-02-01,-2.866,2.647,Iceland
1780-03-01,-1.986,2.33,Iceland
1780-04-01,3.615,3.82,Iceland
1780-05-01,6.53,2.596,Iceland
1780-06-01,7.2650000000000015,4.289,Iceland
1780-07-01,9.684,2.757,Iceland
1780-08-01,8.338000000000001,3.794,Iceland
1780-09-01,3.4410000000000003,3.627,Iceland
1780-10-01,0.8690000000000001,3.056,Iceland
1780-11-01,-2.257,2.783,Iceland
1780-12-01,-3.56,3.034,Iceland
1781-01-01,-3.035,5.532,Iceland
1781-02-01,-3.706,7.52,Iceland
1781-03-01,-1.5619999999999998,2.248,Iceland
1781-04-01,-1.1909999999999998,3.0660000000000003,Iceland
1781-05-01,3.446,3.2880000000000003,Iceland
1781-06-01,7.142,2.296,Iceland
1781-07-01,8.954999999999998,3.253,Iceland
1781-08-01,7.922999999999999,2.238,Iceland
1781-09-01,4.067,4.4860000000000015,Iceland
1781-10-01,1.28,2.116,Iceland
1781-11-01,-0.2350000000000001,2.798,Iceland
1781-12-01,-2.8280000000000003,4.827,Iceland
1782-01-01,-5.09,3.442,Iceland
1782-02-01,-4.626,7.476,Iceland
1782-03-01,-5.4380000000000015,2.647,Iceland
1782-04-01,-1.457,4.424,Iceland
1782-05-01,1.2400000000000002,3.666,Iceland
1782-06-01,6.674,3.218,Iceland
1782-07-01,8.093,3.816,Iceland
1782-08-01,9.101,2.814,Iceland
1782-09-01,5.001,3.352,Iceland
1782-10-01,-0.1009999999999999,3.855,Iceland
1782-11-01,-3.37,6.931,Iceland
1782-12-01,-4.177,4.837,Iceland
1783-01-01,-6.529999999999999,6.766,Iceland
1783-02-01,-2.5380000000000003,3.749,Iceland
1783-03-01,-3.807,2.8280000000000003,Iceland
1783-04-01,0.5820000000000001,2.376,Iceland
1783-05-01,3.373,3.863,Iceland
1783-06-01,6.932,2.742,Iceland
1783-07-01,8.805,2.882,Iceland
1783-08-01,7.326,2.518,Iceland
1783-09-01,3.919000000000001,3.854,Iceland
1783-10-01,-0.1849999999999998,3.548,Iceland
1783-11-01,-3.095,2.861,Iceland
1783-12-01,-3.475,3.839,Iceland
1784-01-01,-4.095,7.8279999999999985,Iceland
1784-02-01,-4.849,6.526,Iceland
1784-03-01,-5.837000000000001,4.66,Iceland
1784-04-01,-1.6780000000000002,6.574,Iceland
1784-05-01,2.9770000000000003,2.736,Iceland
1784-06-01,6.141,2.827,Iceland
1784-07-01,8.54,4.617,Iceland
1784-08-01,8.359,6.082999999999998,Iceland
1784-09-01,4.2890000000000015,4.311,Iceland
1784-10-01,-0.0749999999999999,4.494,Iceland
1784-11-01,-2.502,2.799,Iceland
1784-12-01,-4.74,3.525,Iceland
1785-01-01,-3.946,4.099,Iceland
1785-02-01,-5.209,4.933,Iceland
1785-03-01,-5.87,3.379,Iceland
1785-04-01,-0.596,3.988,Iceland
1785-05-01,2.654,4.426,Iceland
1785-06-01,8.964,4.404,Iceland
1785-07-01,9.406,3.927,Iceland
1785-08-01,7.697999999999999,3.449,Iceland
1785-09-01,3.796,2.684,Iceland
1785-10-01,-0.6719999999999999,3.314,Iceland
1785-11-01,-1.163,4.212,Iceland
1785-12-01,-4.263999999999999,2.619,Iceland
1786-01-01,-5.893,2.924,Iceland
1786-02-01,-3.865,2.754,Iceland
1786-03-01,-3.826,4.869,Iceland
1786-04-01,-0.8590000000000001,3.945,Iceland
1786-05-01,3.345,3.905,Iceland
1786-06-01,7.314,2.5610000000000004,Iceland
1786-07-01,8.683,4.205,Iceland
1786-08-01,9.328,5.971,Iceland
1786-09-01,5.7040000000000015,5.7,Iceland
1786-10-01,0.2830000000000001,2.51,Iceland
1786-11-01,-3.144,5.524,Iceland
1786-12-01,-5.33,3.007,Iceland
1787-01-01,-0.9939999999999998,4.388,Iceland
1787-02-01,-1.6709999999999998,3.997,Iceland
1787-03-01,-1.878,3.782,Iceland
1787-04-01,-1.829,3.199,Iceland
1787-05-01,3.378,4.606,Iceland
1787-06-01,7.075,4.1080000000000005,Iceland
1787-07-01,7.9529999999999985,5.744,Iceland
1787-08-01,7.6,4.882,Iceland
1787-09-01,4.623,3.487,Iceland
1787-10-01,0.3619999999999999,6.317,Iceland
1787-11-01,-2.574,2.216,Iceland
1787-12-01,-4.987,3.596,Iceland
1788-01-01,-4.092,2.449,Iceland
1788-02-01,-3.6,5.698,Iceland
1788-03-01,-3.683,3.764,Iceland
1788-04-01,1.325,3.681,Iceland
1788-05-01,3.025,2.565,Iceland
1788-06-01,7.5390000000000015,2.865,Iceland
1788-07-01,10.663,4.026,Iceland
1788-08-01,8.634,2.664,Iceland
1788-09-01,5.665,2.487,Iceland
1788-10-01,1.516,3.006,Iceland
1788-11-01,-0.4690000000000001,2.49,Iceland
1788-12-01,-6.800000000000002,3.125,Iceland
1789-01-01,-3.116,5.455,Iceland
1789-02-01,-3.572,4.065,Iceland
1789-03-01,-5.59,3.722,Iceland
1789-04-01,-1.413,2.744,Iceland
1789-05-01,3.451,3.514,Iceland
1789-06-01,7.842,2.582,Iceland
1789-07-01,9.954999999999998,3.1630000000000003,Iceland
1789-08-01,9.052,2.4730000000000003,Iceland
1789-09-01,5.689,2.373,Iceland
1789-10-01,0.5090000000000001,3.332,Iceland
1789-11-01,-1.616,2.247,Iceland
1789-12-01,-1.4600000000000002,2.662,Iceland
1790-01-01,-2.229,3.96,Iceland
1790-02-01,-1.507,4.246,Iceland
1790-03-01,-1.4170000000000005,2.767,Iceland
1790-04-01,-2.427,3.103,Iceland
1790-05-01,3.629,3.261,Iceland
1790-06-01,6.952000000000001,2.769,Iceland
1790-07-01,7.986999999999999,2.391,Iceland
1790-08-01,7.776,2.456,Iceland
1790-09-01,4.341,2.649,Iceland
1790-10-01,0.964,3.315,Iceland
1790-11-01,-2.3840000000000003,2.394,Iceland
1790-12-01,-3.258,7.1560000000000015,Iceland
1791-01-01,-2.219,5.72,Iceland
1791-02-01,-2.4530000000000003,2.677,Iceland
1791-03-01,-1.173,3.401,Iceland
1791-04-01,-0.853,2.768,Iceland
1791-05-01,3.204,2.507,Iceland
1791-06-01,6.24,2.765,Iceland
1791-07-01,9.013,2.4730000000000003,Iceland
1791-08-01,7.853,2.221,Iceland
1791-09-01,4.5790000000000015,2.979,Iceland
1791-10-01,0.1680000000000001,2.655,Iceland
1791-11-01,-1.293,2.794,Iceland
1791-12-01,-4.2940000000000005,2.641,Iceland
1792-01-01,-5.721,4.544,Iceland
1792-02-01,-2.139,4.122,Iceland
1792-03-01,-2.9410000000000003,2.892,Iceland
1792-04-01,-0.063,2.679,Iceland
1792-05-01,3.303,2.3680000000000003,Iceland
1792-06-01,7.3450000000000015,2.185,Iceland
1792-07-01,8.994,2.61,Iceland
1792-08-01,7.181,2.439,Iceland
1792-09-01,5.181,3.4,Iceland
1792-10-01,-0.094,2.801,Iceland
1792-11-01,-0.169,3.056,Iceland
1792-12-01,-2.859,3.178,Iceland
1793-01-01,-3.537,4.087,Iceland
1793-02-01,-2.7310000000000003,4.613,Iceland
1793-03-01,-3.2710000000000004,3.626,Iceland
1793-04-01,-0.0019999999999999,2.857,Iceland
1793-05-01,3.255,2.329,Iceland
1793-06-01,6.945,3.419,Iceland
1793-07-01,7.929999999999999,5.052,Iceland
1793-08-01,7.0,4.648,Iceland
1793-09-01,5.308000000000002,2.983,Iceland
1793-10-01,1.114,3.789,Iceland
1793-11-01,-2.454,4.552,Iceland
1793-12-01,-4.122,3.554,Iceland
1794-01-01,-3.539,4.9110000000000005,Iceland
1794-02-01,-3.131,6.441,Iceland
1794-03-01,-1.272,2.694,Iceland
1794-04-01,1.359,2.451,Iceland
1794-05-01,3.785,3.418,Iceland
1794-06-01,6.072,4.4030000000000005,Iceland
1794-07-01,8.014999999999999,5.309,Iceland
1794-08-01,8.031,2.9930000000000003,Iceland
1794-09-01,5.416,3.129,Iceland
1794-10-01,1.101,3.177,Iceland
1794-11-01,-3.002,3.485,Iceland
1794-12-01,-2.455,3.017,Iceland
1795-01-01,-3.009,5.247000000000001,Iceland
1795-02-01,-4.053,6.4620000000000015,Iceland
1795-03-01,-3.588,3.423,Iceland
1795-04-01,0.1079999999999999,2.491,Iceland
1795-05-01,2.395,4.215,Iceland
1795-06-01,6.034000000000002,2.969,Iceland
1795-07-01,8.876,3.4610000000000003,Iceland
1795-08-01,8.208,2.724,Iceland
1795-09-01,5.276000000000002,4.088,Iceland
1795-10-01,0.918,4.0310000000000015,Iceland
1795-11-01,-2.4930000000000003,3.084,Iceland
1795-12-01,-3.279,3.419,Iceland
1796-01-01,-2.305,3.435,Iceland
1796-02-01,-2.812,2.516,Iceland
1796-03-01,-3.575,3.057,Iceland
1796-04-01,0.7829999999999999,2.378,Iceland
